PRICE,SQFT,AGE,NE
2050,2650,13,1
2150,2664,6,1
2150,2921,3,1
1999,2580,4,1
1900,2580,4,1
1800,2774,2,1
1560,1920,1,1
1449,1710,1,1
1375,1837,4,1
1270,1880,8,1
1250,2150,15,1
1235,1894,14,1
1170,1928,18,1
1155,1767,16,1
1110,1630,15,1
1139,1680,17,1
995,1500,15,1
900,1400,16,1
960,1573,17,1
1695,2931,28,1
1553,2200,28,1
1020,1478,53,1
1020,1713,30,1
850,1190,41,1
720,1121,46,1
749,1733,43,1
2150,2848,4,1
1350,2253,23,1
1299,2743,25,1
1250,2180,17,1
1239,1706,14,1
1125,1710,16,1
1080,2200,26,1
1050,1680,13,1
1049,1900,34,1
934,1543,20,1
875,1173,6,1
805,1258,7,1
729,1007,19,1
710,1083,22,1
975,1500,7,0
939,1428,40,0
2100,2116,25,0
580,1051,15,0
1844,2250,40,0
699,1400,45,0
1160,1720,5,0
1109,1740,4,0
1129,1700,6,0
1050,1620,6,0
1045,1630,6,0
1050,1920,8,0
1020,1606,5,0
1000,1535,7,0
1030,1540,6,0
975,1739,13,0
940,1305,5,0
920,1415,7,0
945,1580,9,0
874,1236,3,0
872,1229,6,0
870,1273,4,0
869,1165,7,0
766,1200,7,0
739,970,4,0
